GOid	Genes
GO:0044281	['ABCB11', 'ACAD11', 'ACADS', 'ACOT6', 'ACOX3', 'ACOXL', 'ACSL5', 'ACSM5', 'AKR1A1', 'AKR1C4', 'ALDH5A1', 'BLVRA', 'C3', 'CDA', 'COQ6', 'CYP4V2', 'DECR2', 'ECHS1', 'ETFA', 'FBN3', 'FBP2', 'FECH', 'FUT1', 'FUT2', 'GCKR', 'GDPGP1', 'GMPR2', 'HKDC1', 'IDI2', 'LBR', 'MAPDA', 'MTHFR', 'OTOG', 'PARP1', 'PARP10', 'PDE4A', 'PDE5A', 'POFUT1', 'SCARB1', 'SLC25A32', 'SLC2A9', 'SLC5A6', 'SNCA', 'SPHK1', 'VCP', 'VLDLR', 'XPO4']
GO:0019216	['ABCB11', 'ANGPTL4', 'C3', 'FGFR4', 'FUT1', 'MALRD1', 'REST', 'SCARB1', 'SEC14L2', 'SNCA', 'SPHK1', 'TBL1XR1', 'THRA', 'TSPO']
GO:0048878	['ABCB11', 'ABCG5', 'AGER', 'ANGPTL4', 'ANKRD9', 'ATP13A2', 'ATP6V0A2', 'ATP6V0A4', 'CASR', 'CYBA', 'EGLN1', 'EIF2AK1', 'FBN3', 'FECH', 'FGFR4', 'FUT1', 'GCKR', 'GHRHR', 'HFE', 'HKDC1', 'LACC1', 'MALRD1', 'MC3R', 'MYC', 'PML', 'PNPLA1', 'RYR3', 'SCARB1', 'SLC12A7', 'SLC24A1', 'SLC4A2', 'SLC8A2', 'TF', 'THADA', 'TMPRSS6', 'TSPO', 'WNK1']
GO:0032446	['ABCB11', 'ANKRD9', 'ASB18', 'C10orf90', 'COPS3', 'CUL1', 'DCAF12', 'ELOB', 'FBXO24', 'FBXO25', 'FBXO38', 'FBXO7', 'HDAC7', 'IFIH1', 'KLHL41', 'LNPEP', 'MARCHF8', 'PML', 'RAG1', 'RFWD3', 'RNF213', 'RNF43', 'SH3RF2', 'SHARPIN', 'SLF1', 'TRAF3IP2', 'TRIM25', 'TRIM41', 'VCP']
GO:0032892	['ABCB11', 'ACSL5', 'PLA2R1']
GO:0050994	['ABCB11', 'FUT1', 'SCARB1']
GO:0043436	['ABCB11', 'ACAD11', 'ACADS', 'ACOT6', 'ACOX3', 'ACOXL', 'ACSL5', 'ACSM5', 'AKR1A1', 'AKR1C4', 'ALDH5A1', 'BLVRA', 'C3', 'CYP4V2', 'DECR2', 'ECHS1', 'ETFA', 'HKDC1', 'MTHFR', 'SLC25A32', 'SLC5A6', 'SNCA', 'XPO4']
GO:0009056	['ABCC2', 'ACAD11', 'ACADS', 'ACOX3', 'ACOXL', 'ADAM15', 'ADAMTS4', 'AKR1A1', 'ALDH5A1', 'ANKRD9', 'ARMC3', 'ATG9A', 'ATP13A2', 'BLVRA', 'CASP7', 'CEMIP2', 'CNOT2', 'COPS3', 'CUL1', 'DCAF12', 'DECR2', 'DERL1', 'DIS3L', 'DMAC2', 'ECHS1', 'EIF2AK1', 'ELOB', 'ERAP1', 'ETFA', 'FBXO24', 'FBXO38', 'FBXO7', 'FUT1', 'FUT2', 'HKDC1', 'HYAL3', 'KLHL40', 'KLHL41', 'LNPEP', 'LONP1', 'LVRN', 'MAPDA', 'MLH1', 'MMP14', 'MYC', 'NCOA3', 'NME8', 'NOD1', 'PBK', 'PDE4A', 'PDE5A', 'PELO', 'PLBD1', 'PLCB3', 'PML', 'PNPLA1', 'PTPN22', 'RHOBTB3', 'RNF213', 'RNF43', 'SCARB1', 'SHARPIN', 'SLCO1B1', 'SLFN12', 'SLFN14', 'SMG6', 'SMPDL3B', 'SPHK1', 'STAB2', 'TBC1D5', 'TBL1XR1', 'TMPRSS6', 'TRIM25', 'UBQLN4', 'VCP', 'XAF1', 'XPO4', 'YME1L1']
GO:0032501	['ABCC2', 'ABCG5', 'ADGRG1', 'ADGRV1', 'AGER', 'AIF1', 'ALDH5A1', 'ANGPTL4', 'ANO9', 'ANXA1', 'ARHGEF11', 'ARSG', 'ATAD5', 'ATP6V0A4', 'BBS2', 'BLVRA', 'BYSL', 'C3', 'CABP2', 'CAMTA2', 'CASR', 'CC2D1A', 'CCR6', 'CD27', 'CDH2', 'CFB', 'CHRD', 'COL4A1', 'COPS3', 'CWH43', 'CYBA', 'CYP4V2', 'DCAF12', 'DGKH', 'DLG5', 'DMRT3', 'DNAAF4', 'DNAH11', 'DNAH5', 'DOCK4', 'DOCK5', 'DOCK8', 'EHMT2', 'EIF2AK1', 'EIF2AK4', 'EML2', 'ERCC2', 'EXO1', 'EYS', 'EZR', 'F13A1', 'F5', 'FBXO7', 'FCER2', 'FCRL5', 'FECH', 'FLT3', 'FLT3LG', 'GABRR2', 'GHRHR', 'GIT1', 'GLI1', 'GP6', 'GPRIN3', 'HFE', 'HGFAC', 'HHEX', 'HLX', 'HTT', 'HYAL3', 'IFNK', 'IFT140', 'IGSF10', 'IL12RB1', 'IL4R', 'ITGA8', 'ITGB3', 'KLHL41', 'KLKB1', 'LINS1', 'LNPEP', 'LOXHD1', 'LTBP3', 'LTF', 'MC3R', 'MCPH1', 'MITF', 'MLH1', 'MMP14', 'MTF1', 'MUSK', 'MYC', 'MYCT1', 'MYH13', 'MYO18B', 'MYO7A', 'MYOM2', 'NAV2', 'NCR1', 'NCR3', 'OBP2B', 'OPRD1', 'OPRM1', 'OR10P1', 'OR2AG2', 'OR2G2', 'OR52B6', 'OR5B12', 'OR5M11', 'OR6N1', 'OR7A10', 'OR7G2', 'OVOL2', 'P3H4', 'PADI4', 'PASK', 'PDE3A', 'PDE4A', 'PELO', 'PKHD1L1', 'PML', 'POFUT1', 'PPL', 'PRKDC', 'PRRG2', 'PTPN22', 'RAG1', 'REST', 'RPA1', 'RYR3', 'SCARB1', 'SCN5A', 'SDK1', 'SERPINB6', 'SETDB2', 'SHARPIN', 'SKAP2', 'SLC24A1', 'SLC5A6', 'SLC6A13', 'SLC8A2', 'SLIT2', 'SNCA', 'SPRR3', 'ST3GAL4', 'STAT1', 'STK36', 'SZT2', 'TBC1D32', 'TBL1XR1', 'TEAD4', 'TEK', 'TET1', 'TF', 'THRA', 'TLR6', 'TMPRSS6', 'TNFSF14', 'TRAF3IP2', 'TRPM1', 'TSPO', 'UBAP2', 'VLDLR', 'YME1L1', 'ZNF335']
GO:0010556	['ABCC2', 'AFF1', 'AGER', 'AIF1', 'ALPK2', 'ANXA1', 'ARHGEF11', 'ATAD5', 'ATG9A', 'ATP13A2', 'ATR', 'BBS2', 'BRD8', 'BTNL8', 'C3', 'CALCOCO1', 'CAMTA2', 'CASP7', 'CASR', 'CC2D1A', 'CCAR2', 'CENPF', 'CHD3', 'CHD4', 'CLNK', 'CNOT2', 'CPEB4', 'CTCFL', 'CWH43', 'CYBA', 'DCAF12', 'DIDO1', 'DIS3L', 'DMRT3', 'EGLN1', 'EHMT2', 'EIF2AK1', 'EIF2AK2', 'EIF2AK4', 'EIF2B5', 'ELF1', 'ELOB', 'ERCC2', 'EZR', 'FAM76B', 'FASTKD3', 'FCER2', 'FECH', 'FGFR4', 'FOXM1', 'GEMIN5', 'GIT1', 'GLI1', 'GLIS3', 'GON4L', 'H1-2', 'HDAC7', 'HEATR1', 'HFE', 'HHEX', 'HHLA2', 'HIC1', 'HLX', 'HNRNPH1', 'HR', 'ID3', 'IFIH1', 'IFNK', 'IL12RB1', 'IL27', 'IL34', 'IL4R', 'ITGA8', 'ITGB3', 'KANSL1', 'KLKB1', 'LACC1', 'LBR', 'LILRA4', 'LTF', 'MAF1', 'MAST2', 'MAVS', 'MAX', 'MC3R', 'MCPH1', 'MEF2A', 'MITF', 'MLH1', 'MMP14', 'MSANTD1', 'MTF1', 'MUSK', 'MYBL2', 'MYC', 'NCOA3', 'NIBAN1', 'NOD1', 'ODAM', 'OPRD1', 'OVOL2', 'PADI2', 'PANX1', 'PARP1', 'PARP10', 'PARP14', 'PASK', 'PELO', 'PGBD1', 'PHIP', 'PLA2R1', 'PML', 'PPP1R15A', 'PRKDC', 'PTPN22', 'RAG1', 'REST', 'SEC14L2', 'SETDB2', 'SIGLEC1', 'SLC25A37', 'SLC8A2', 'SLFN14', 'SMARCAD1', 'SMG6', 'SNCA', 'SNIP1', 'SP110', 'SPHK1', 'SPINK5', 'STAT1', 'STK36', 'STN1', 'STX1B', 'TASOR2', 'TBL1XR1', 'TEAD4', 'TET1', 'TET2', 'THRA', 'TLR6', 'TMPRSS6', 'TRAF3IP2', 'TRAF3IP3', 'TRAP1', 'TRIM25', 'TSPO', 'UBAP2', 'UBASH3A', 'WNK1', 'WWC2', 'XAF1', 'ZBTB22', 'ZC3HAV1', 'ZFPL1', 'ZGLP1', 'ZHX3', 'ZKSCAN7', 'ZNF101', 'ZNF134', 'ZNF169', 'ZNF264', 'ZNF276', 'ZNF320', 'ZNF335', 'ZNF470', 'ZNF587B', 'ZNF592', 'ZNF732', 'ZNF749', 'ZSCAN32']
GO:0048519	['ABCC2', 'ABCG5', 'ADAM15', 'ADAMTS5', 'ADGRG1', 'ADGRV1', 'AGER', 'AIF1', 'AKR1A1', 'ALPK2', 'ANGPTL4', 'ANXA1', 'ARHGAP45', 'ARHGEF15', 'ARHGEF18', 'ATAD5', 'ATG9A', 'ATP13A2', 'ATR', 'BACE1', 'BBS2', 'BCL2L10', 'CASP7', 'CC2D1A', 'CCAR2', 'CCN6', 'CD27', 'CD68', 'CDH2', 'CENPF', 'CHD3', 'CHD4', 'CHRD', 'CLNK', 'CNOT2', 'CPEB4', 'CUL1', 'DCAF12', 'DDIAS', 'DIS3L', 'DLG5', 'DOCK4', 'DOCK5', 'DOCK8', 'EGLN1', 'EHMT2', 'EIF2AK1', 'EIF2AK2', 'EIF2AK4', 'ELF1', 'ELOB', 'EML2', 'ETAA1', 'EZR', 'FAM76B', 'FBXO38', 'FBXO7', 'FOXM1', 'FUT1', 'GAK', 'GCKR', 'GIT1', 'GLCE', 'GLI1', 'GLIS3', 'GSKIP', 'H1-2', 'H1-6', 'HASPIN', 'HDAC7', 'HFE', 'HHEX', 'HIC1', 'HLX', 'HR', 'HTT', 'HYAL3', 'ID3', 'IFIH1', 'IFNK', 'IGDCC4', 'IL2RB', 'IL4R', 'ITGB3', 'KLHL40', 'KLKB1', 'LBR', 'LILRA4', 'LNPEP', 'LONP1', 'LTBP3', 'LTF', 'MAF1', 'MALRD1', 'MAVS', 'MAX', 'MCPH1', 'MEF2A', 'MITF', 'MLH1', 'MMP14', 'MORN3', 'MYC', 'NDC80', 'NEK11', 'NIBAN1', 'NUF2', 'NUP153', 'OPRD1', 'OPRM1', 'OVOL2', 'PADI2', 'PARP1', 'PARP10', 'PARP14', 'PASK', 'PBK', 'PDE3A', 'PDE4A', 'PDE5A', 'PELO', 'PHIP', 'PI16', 'PKMYT1', 'PLA2R1', 'PLCB3', 'PML', 'PPP1R15A', 'PRKDC', 'PTPN22', 'QSOX1', 'RAG1', 'REST', 'RFWD3', 'RIN3', 'RNF213', 'RNF43', 'RTEL1', 'RYR3', 'SAMSN1', 'SEMA6A', 'SESN1', 'SETDB2', 'SH3RF2', 'SHARPIN', 'SIGLEC1', 'SIRPG', 'SKAP2', 'SLC24A1', 'SLC4A2', 'SLFN14', 'SLIT2', 'SMARCAD1', 'SMG6', 'SMPDL3B', 'SNCA', 'SNIP1', 'SORCS2', 'SPHK1', 'SPINK5', 'SPTB', 'STAT1', 'STN1', 'STX1B', 'SZT2', 'TAOK3', 'TASOR2', 'TBC1D4', 'TBL1XR1', 'TEK', 'TES', 'TET1', 'THRA', 'TICRR', 'TLR6', 'TMEM25', 'TMPRSS6', 'TRAF3IP2', 'TRAP1', 'TSPO', 'TTLL12', 'UBASH3A', 'UBQLN4', 'VCP', 'VPS13C', 'WNK1', 'WWC2', 'XAF1', 'YME1L1', 'ZC3HAV1', 'ZDHHC4', 'ZGLP1', 'ZHX3', 'ZNF134', 'ZNF587B', 'ZNF592', 'ZNF732']
GO:0006787	['ABCC2', 'BLVRA', 'SLCO1B1']
GO:0003018	['ABCC2', 'AGER', 'BBS2', 'CASR', 'DOCK4', 'DOCK5', 'PDE3A', 'SCARB1', 'SLC5A6', 'SLC6A13', 'SLC8A2', 'SLIT2', 'TEK']
GO:0009890	['ABCC2', 'AGER', 'ANGPTL4', 'ANXA1', 'ATG9A', 'BBS2', 'CASP7', 'CC2D1A', 'CCAR2', 'CENPF', 'CHD3', 'CHD4', 'CNOT2', 'CPEB4', 'DCAF12', 'DIS3L', 'EHMT2', 'EIF2AK1', 'EIF2AK2', 'EIF2AK4', 'ELOB', 'EZR', 'FOXM1', 'GIT1', 'GLIS3', 'H1-2', 'HDAC7', 'HFE', 'HHEX', 'HIC1', 'HR', 'ID3', 'LBR', 'LILRA4', 'LTF', 'MAF1', 'MALRD1', 'MAX', 'MCPH1', 'MEF2A', 'MITF', 'MLH1', 'MYC', 'OPRD1', 'OPRM1', 'OVOL2', 'PARP1', 'PARP10', 'PARP14', 'PASK', 'PELO', 'PML', 'PTPN22', 'REST', 'SETDB2', 'SIGLEC1', 'SLFN14', 'SMARCAD1', 'SMG6', 'SNCA', 'SNIP1', 'SPHK1', 'SPINK5', 'STAT1', 'STN1', 'TASOR2', 'TBL1XR1', 'TET1', 'THRA', 'TLR6', 'TMPRSS6', 'TRAP1', 'TSPO', 'WWC2', 'XAF1', 'ZGLP1', 'ZHX3', 'ZNF134', 'ZNF587B', 'ZNF732']
GO:0009892	['ABCC2', 'ADAMTS5', 'AGER', 'ANGPTL4', 'ANXA1', 'ATG9A', 'ATP13A2', 'ATR', 'BBS2', 'CASP7', 'CC2D1A', 'CCAR2', 'CENPF', 'CHD3', 'CHD4', 'CNOT2', 'CPEB4', 'CUL1', 'DCAF12', 'DIS3L', 'EHMT2', 'EIF2AK1', 'EIF2AK2', 'EIF2AK4', 'ELOB', 'EZR', 'FAM76B', 'FBXO38', 'FOXM1', 'GCKR', 'GIT1', 'GLIS3', 'GSKIP', 'H1-2', 'H1-6', 'HDAC7', 'HFE', 'HHEX', 'HIC1', 'HR', 'ID3', 'ITGB3', 'KLHL40', 'LBR', 'LILRA4', 'LNPEP', 'LTF', 'MAF1', 'MALRD1', 'MAX', 'MCPH1', 'MEF2A', 'MITF', 'MLH1', 'MYC', 'NIBAN1', 'OPRD1', 'OPRM1', 'OVOL2', 'PARP1', 'PARP10', 'PARP14', 'PASK', 'PBK', 'PELO', 'PML', 'PRKDC', 'PTPN22', 'QSOX1', 'REST', 'RTEL1', 'SAMSN1', 'SETDB2', 'SH3RF2', 'SIGLEC1', 'SLFN14', 'SLIT2', 'SMARCAD1', 'SMG6', 'SNCA', 'SNIP1', 'SPHK1', 'SPINK5', 'STAT1', 'STN1', 'TASOR2', 'TBL1XR1', 'TET1', 'THRA', 'TLR6', 'TMPRSS6', 'TRAF3IP2', 'TRAP1', 'TSPO', 'UBQLN4', 'VPS13C', 'WNK1', 'WWC2', 'XAF1', 'ZGLP1', 'ZHX3', 'ZNF134', 'ZNF587B', 'ZNF732']
GO:0010605	['ABCC2', 'AGER', 'ANXA1', 'ATG9A', 'ATP13A2', 'ATR', 'BBS2', 'CASP7', 'CC2D1A', 'CCAR2', 'CENPF', 'CHD3', 'CHD4', 'CNOT2', 'CPEB4', 'DCAF12', 'DIS3L', 'EHMT2', 'EIF2AK1', 'EIF2AK2', 'EIF2AK4', 'ELOB', 'EZR', 'FAM76B', 'FBXO38', 'FOXM1', 'GIT1', 'GLIS3', 'GSKIP', 'H1-2', 'H1-6', 'HDAC7', 'HFE', 'HHEX', 'HIC1', 'HR', 'ID3', 'ITGB3', 'KLHL40', 'LBR', 'LILRA4', 'LTF', 'MAF1', 'MAX', 'MCPH1', 'MEF2A', 'MITF', 'MLH1', 'MYC', 'NIBAN1', 'OPRD1', 'OVOL2', 'PARP1', 'PARP10', 'PARP14', 'PASK', 'PBK', 'PELO', 'PML', 'PRKDC', 'PTPN22', 'REST', 'RTEL1', 'SAMSN1', 'SETDB2', 'SH3RF2', 'SIGLEC1', 'SLFN14', 'SLIT2', 'SMARCAD1', 'SMG6', 'SNCA', 'SNIP1', 'SPINK5', 'STAT1', 'STN1', 'TASOR2', 'TBL1XR1', 'TET1', 'THRA', 'TLR6', 'TMPRSS6', 'TRAF3IP2', 'TSPO', 'UBQLN4', 'WNK1', 'WWC2', 'XAF1', 'ZGLP1', 'ZHX3', 'ZNF134', 'ZNF587B', 'ZNF732']
GO:0060255	['ABCC2', 'AFF1', 'AGER', 'AIF1', 'ALPK2', 'ANXA1', 'ARHGEF11', 'ATAD5', 'ATG9A', 'ATP13A2', 'ATR', 'BBS2', 'BRD8', 'BTNL8', 'C3', 'CALCOCO1', 'CAMTA2', 'CASP7', 'CASR', 'CC2D1A', 'CCAR2', 'CENPF', 'CHD3', 'CHD4', 'CLNK', 'CNOT2', 'COPS3', 'CPEB4', 'CTCFL', 'CWH43', 'CYBA', 'DCAF12', 'DERL1', 'DIDO1', 'DIS3L', 'DMRT3', 'DNAAF4', 'EGLN1', 'EHMT2', 'EIF2AK1', 'EIF2AK2', 'EIF2AK4', 'EIF2B5', 'ELF1', 'ELOB', 'ERCC2', 'ETAA1', 'EZR', 'FAM76B', 'FASTKD3', 'FBXO38', 'FCER2', 'FECH', 'FGFR4', 'FLT3', 'FOXM1', 'GEMIN5', 'GHRHR', 'GIT1', 'GLI1', 'GLIS3', 'GON4L', 'GSKIP', 'H1-2', 'H1-6', 'HDAC7', 'HEATR1', 'HFE', 'HHEX', 'HHLA2', 'HIC1', 'HLX', 'HNRNPH1', 'HR', 'ID3', 'IFIH1', 'IFNK', 'IL12RB1', 'IL27', 'IL34', 'IL4R', 'ITGA8', 'ITGB3', 'KANSL1', 'KLHL40', 'KLKB1', 'LACC1', 'LBR', 'LILRA4', 'LTF', 'MAF1', 'MAST2', 'MAVS', 'MAX', 'MC3R', 'MCPH1', 'MEF2A', 'MITF', 'MLH1', 'MMP14', 'MSANTD1', 'MST1R', 'MTF1', 'MUSK', 'MYBL2', 'MYC', 'NCOA3', 'NIBAN1', 'NOD1', 'ODAM', 'OPRD1', 'OVOL2', 'PADI2', 'PANX1', 'PARP1', 'PARP10', 'PARP14', 'PASK', 'PBK', 'PDE3A', 'PELO', 'PGBD1', 'PHIP', 'PKMYT1', 'PLA2R1', 'PML', 'PPP1R15A', 'PRKDC', 'PTPN22', 'RAG1', 'REST', 'RHOBTB3', 'RTEL1', 'SAMSN1', 'SEC14L2', 'SETDB2', 'SH3RF2', 'SIGLEC1', 'SLC25A37', 'SLC8A2', 'SLF1', 'SLFN14', 'SLIT2', 'SMARCAD1', 'SMG6', 'SNCA', 'SNIP1', 'SP110', 'SPHK1', 'SPINK5', 'STAT1', 'STK36', 'STN1', 'STX1B', 'SYNPO2', 'TAOK3', 'TASOR2', 'TBL1XR1', 'TEAD4', 'TET1', 'TET2', 'TF', 'THRA', 'TICRR', 'TLR6', 'TMPRSS6', 'TRAF3IP2', 'TRAF3IP3', 'TRAP1', 'TRIM25', 'TSPO', 'UBAP2', 'UBASH3A', 'UBQLN4', 'VCP', 'WNK1', 'WWC2', 'XAF1', 'ZBTB22', 'ZC3HAV1', 'ZFPL1', 'ZGLP1', 'ZHX3', 'ZKSCAN7', 'ZNF101', 'ZNF134', 'ZNF169', 'ZNF264', 'ZNF276', 'ZNF320', 'ZNF335', 'ZNF470', 'ZNF587B', 'ZNF592', 'ZNF732', 'ZNF749', 'ZSCAN32']
GO:0003008	['ABCC2', 'ABCG5', 'ADGRV1', 'AGER', 'ANO9', 'ARHGEF11', 'ATP6V0A4', 'BBS2', 'BLVRA', 'CABP2', 'CAMTA2', 'CASR', 'CC2D1A', 'CWH43', 'CYBA', 'CYP4V2', 'DMRT3', 'DNAAF4', 'DNAH11', 'DOCK4', 'DOCK5', 'EIF2AK4', 'EML2', 'EYS', 'EZR', 'F5', 'GABRR2', 'GIT1', 'HTT', 'ITGA8', 'KLHL41', 'LINS1', 'LOXHD1', 'MUSK', 'MYC', 'MYH13', 'MYO7A', 'MYOM2', 'NAV2', 'OBP2B', 'OPRM1', 'OR10P1', 'OR2AG2', 'OR2G2', 'OR52B6', 'OR5B12', 'OR5M11', 'OR6N1', 'OR7A10', 'OR7G2', 'PDE3A', 'PDE4A', 'PKHD1L1', 'RAG1', 'REST', 'RYR3', 'SCARB1', 'SCN5A', 'SERPINB6', 'SLC24A1', 'SLC5A6', 'SLC6A13', 'SLC8A2', 'SLIT2', 'ST3GAL4', 'STAT1', 'TEK', 'THRA', 'TRPM1', 'VLDLR']
GO:0034220	['ABCC2', 'ANO7', 'ANO9', 'ATP13A2', 'ATP6V0A2', 'ATP6V0A4', 'CACNG1', 'CASR', 'CLCN6', 'GABRR2', 'KCNE4', 'KCNG4', 'LRRC8C', 'OPRM1', 'OTOP3', 'PANX1', 'PLCB3', 'RYR3', 'SCN5A', 'SLC12A7', 'SLC18B1', 'SLC24A1', 'SLC25A37', 'SLC2A9', 'SLC4A2', 'SLC5A6', 'SLC6A13', 'SLC6A5', 'SLC8A2', 'TF', 'TMCO3', 'TRPM1', 'WNK1']
GO:0009889	['ABCC2', 'AFF1', 'AGER', 'AIF1', 'ALPK2', 'ANGPTL4', 'ANXA1', 'ARHGEF11', 'ATAD5', 'ATG9A', 'ATP13A2', 'ATR', 'BBS2', 'BRD8', 'BTNL8', 'C3', 'CALCOCO1', 'CAMTA2', 'CASP7', 'CASR', 'CC2D1A', 'CCAR2', 'CCN6', 'CENPF', 'CHD3', 'CHD4', 'CLNK', 'CNOT2', 'CPEB4', 'CTCFL', 'CWH43', 'CYBA', 'DCAF12', 'DIDO1', 'DIS3L', 'DMRT3', 'EGLN1', 'EHMT2', 'EIF2AK1', 'EIF2AK2', 'EIF2AK4', 'EIF2B5', 'ELF1', 'ELOB', 'ERCC2', 'EZR', 'FAM76B', 'FASTKD3', 'FCER2', 'FECH', 'FGFR4', 'FOXM1', 'GEMIN5', 'GIT1', 'GLI1', 'GLIS3', 'GON4L', 'H1-2', 'HDAC7', 'HEATR1', 'HFE', 'HHEX', 'HHLA2', 'HIC1', 'HLX', 'HNRNPH1', 'HR', 'ID3', 'IFIH1', 'IFNK', 'IL12RB1', 'IL27', 'IL34', 'IL4R', 'ITGA8', 'ITGB3', 'KANSL1', 'KLKB1', 'LACC1', 'LBR', 'LILRA4', 'LTF', 'MAF1', 'MALRD1', 'MAST2', 'MAVS', 'MAX', 'MC3R', 'MCPH1', 'MEF2A', 'MITF', 'MLH1', 'MMP14', 'MSANTD1', 'MTF1', 'MUSK', 'MYBL2', 'MYC', 'NCOA3', 'NIBAN1', 'NOD1', 'NOS1AP', 'ODAM', 'OPRD1', 'OPRM1', 'OVOL2', 'PADI2', 'PANX1', 'PARP1', 'PARP10', 'PARP14', 'PASK', 'PELO', 'PGBD1', 'PHIP', 'PLA2R1', 'PML', 'PPP1R15A', 'PRKDC', 'PTPN22', 'RAG1', 'REST', 'SCARB1', 'SEC14L2', 'SETDB2', 'SIGLEC1', 'SLC25A37', 'SLC8A2', 'SLFN14', 'SMARCAD1', 'SMG6', 'SNCA', 'SNIP1', 'SP110', 'SPHK1', 'SPINK5', 'STAT1', 'STK36', 'STN1', 'STX1B', 'TASOR2', 'TBL1XR1', 'TEAD4', 'TET1', 'TET2', 'THRA', 'TLR6', 'TMPRSS6', 'TRAF3IP2', 'TRAF3IP3', 'TRAP1', 'TRIM25', 'TSPO', 'UBAP2', 'UBASH3A', 'VCP', 'WNK1', 'WWC2', 'XAF1', 'ZBTB22', 'ZC3HAV1', 'ZFPL1', 'ZGLP1', 'ZHX3', 'ZKSCAN7', 'ZNF101', 'ZNF134', 'ZNF169', 'ZNF264', 'ZNF276', 'ZNF320', 'ZNF335', 'ZNF470', 'ZNF587B', 'ZNF592', 'ZNF732', 'ZNF749', 'ZSCAN32']
GO:0071705	['ABCC2', 'ACAP1', 'AGAP1', 'ATP11A', 'ATP13A2', 'BBS2', 'CENPF', 'COG7', 'CWH43', 'DENND4C', 'DERL1', 'EXPH5', 'GCKR', 'GHRHR', 'GOSR2', 'HFE', 'KDELR3', 'LRRC8C', 'MACF1', 'MYO7A', 'NACAD', 'NUP153', 'PANX1', 'PML', 'SLC16A10', 'SLC18B1', 'SLC22A14', 'SLC22A16', 'SLC25A32', 'SLC2A9', 'SLC5A6', 'SLC6A13', 'SLC6A5', 'SLC7A9', 'SMG6', 'SNCA', 'SORCS2', 'SPAG17', 'STX1B', 'SYTL1', 'TBC1D5', 'TRAF3IP2', 'VCP', 'VLDLR', 'VPS13C', 'VPS35L', 'VPS8', 'XPO4']
GO:0042168	['ABCC2', 'BLVRA', 'FECH', 'SLCO1B1', 'TSPO']
GO:0003013	['ABCC2', 'AGER', 'BBS2', 'CASR', 'DOCK4', 'DOCK5', 'F5', 'PDE3A', 'SCARB1', 'SLC5A6', 'SLC6A13', 'SLC8A2', 'SLIT2', 'STAT1', 'TEK']
GO:0006835	['ABCC2', 'LRRC8C', 'SLC25A32']
GO:0071715	['ABCC2', 'ANXA1', 'SLCO1B1']
GO:0006820	['ABCC2', 'ANO7', 'ANO9', 'CASR', 'CLCN6', 'GABRR2', 'LRRC8C', 'PANX1', 'SLC12A7', 'SLC4A2', 'SLC5A6', 'TSPO']
GO:0150104	['ABCC2']
