GOid	Genes
GO:0043412	['ABCB11', 'ANKRD9', 'ANXA1', 'ASB18', 'B3GNT8', 'C10orf90', 'CASP7', 'COG7', 'COPS3', 'CUL1', 'CWH43', 'DALRD3', 'DCAF12', 'DPAGT1', 'EHMT2', 'EIF2AK1', 'EIF2AK2', 'EIF2AK4', 'ELOB', 'EPHB3', 'F13A1', 'FBXO24', 'FBXO25', 'FBXO38', 'FBXO7', 'FGFR4', 'FLT3', 'FUT1', 'FUT2', 'HASPIN', 'HDAC7', 'IFIH1', 'KLHL41', 'LNPEP', 'MARCHF8', 'MAST2', 'METTL22', 'MTMR6', 'NEK11', 'NOP2', 'P3H4', 'PADI4', 'PARP1', 'PARP10', 'PARP14', 'PASK', 'PML', 'POFUT1', 'POMT1', 'PRKDC', 'PTPRH', 'QPCTL', 'RAG1', 'RFWD3', 'RNF213', 'RNF43', 'SGK2', 'SH3RF2', 'SHARPIN', 'SLF1', 'SPHK1', 'ST3GAL4', 'STK17A', 'STK36', 'TAOK3', 'THADA', 'TNK1', 'TP53RK', 'TRAF3IP2', 'TRIM25', 'TRIM41', 'VCP', 'VRK2', 'WNK1']
GO:0008202	['ABCB11', 'AKR1C4', 'CYP4V2', 'FECH', 'IDI2', 'LBR', 'SCARB1', 'SDR42E1', 'TSPO', 'VLDLR']
GO:0120188	['ABCB11']
GO:0051234	['ABCB11', 'ABCC2', 'ABCG5', 'ACAP1', 'ADGRV1', 'AGAP1', 'AGER', 'AKAP7', 'AKR1C4', 'ANO7', 'ANO9', 'ANXA1', 'APOL3', 'ATG9A', 'ATP10A', 'ATP11A', 'ATP13A2', 'ATP6V0A2', 'ATP6V0A4', 'ATR', 'BBS2', 'BCL2L10', 'CACNG1', 'CASR', 'CD68', 'CENPF', 'CHD4', 'CLCN6', 'CLEC4F', 'CLNK', 'CLPTM1L', 'COG7', 'CTCFL', 'CWH43', 'CYBA', 'DENND4C', 'DERL1', 'DNAAF4', 'DNAH1', 'DNAH11', 'DNAH5', 'EIF2AK1', 'EXOC3L4', 'EXPH5', 'EZR', 'FBXO7', 'FCER2', 'FKBP15', 'GABRR2', 'GAK', 'GCKR', 'GHRHR', 'GIT1', 'GIT2', 'GOSR2', 'HFE', 'HTT', 'IFT140', 'IFT88', 'ITGA8', 'ITGB3', 'ITSN2', 'KCNE4', 'KCNG4', 'KDELR3', 'LRRC8C', 'LTF', 'MACF1', 'MCPH1', 'MICAL3', 'MST1R', 'MTMR6', 'MYO7A', 'NACAD', 'NDC80', 'NUP153', 'OPRM1', 'OTOP3', 'PANX1', 'PARD3B', 'PLA2R1', 'PLCB3', 'PML', 'RHOBTB3', 'RIN3', 'RYR3', 'SCARB1', 'SCN5A', 'SGSM2', 'SIGLEC1', 'SLC12A7', 'SLC16A10', 'SLC18B1', 'SLC22A14', 'SLC22A16', 'SLC22A23', 'SLC24A1', 'SLC25A32', 'SLC25A37', 'SLC2A7', 'SLC2A9', 'SLC4A2', 'SLC5A6', 'SLC6A13', 'SLC6A5', 'SLC7A9', 'SLC8A2', 'SLCO1B1', 'SMG6', 'SNCA', 'SORCS2', 'SPAG17', 'STAB2', 'STARD10', 'STARD6', 'STK36', 'STON2', 'STX1B', 'SYTL1', 'TBC1D4', 'TBC1D5', 'TF', 'TMCO3', 'TRAF3IP2', 'TRPM1', 'TSPO', 'TUBB1', 'VCP', 'VLDLR', 'VPS13C', 'VPS35L', 'VPS8', 'WNK1', 'XPO4', 'ZDHHC4', 'ZDHHC6', 'ZFPL1', 'ZFYVE27']
GO:0051050	['ABCB11', 'ACSL5', 'AKAP7', 'ANXA1', 'ATP13A2', 'C3', 'CASR', 'CDH2', 'CYBA', 'EXPH5', 'EZR', 'GHRHR', 'HFE', 'HTT', 'HYAL3', 'IL2RB', 'IL4R', 'MAVS', 'MEF2A', 'NOS1AP', 'PCNT', 'PLA2R1', 'SCN5A', 'SELE', 'SGK2', 'SIRPG', 'SNCA', 'STX1B', 'TBC1D5', 'TF', 'TSPO', 'XPO4', 'XRCC4']
GO:0072330	['ABCB11', 'ACSM5', 'AKR1C4', 'DECR2']
GO:0006810	['ABCB11', 'ABCC2', 'ABCG5', 'ACAP1', 'AGAP1', 'AGER', 'AKAP7', 'AKR1C4', 'ANO7', 'ANO9', 'ANXA1', 'APOL3', 'ATG9A', 'ATP10A', 'ATP11A', 'ATP13A2', 'ATP6V0A2', 'ATP6V0A4', 'BBS2', 'BCL2L10', 'CACNG1', 'CASR', 'CENPF', 'CHD4', 'CLCN6', 'CLEC4F', 'CLNK', 'CLPTM1L', 'COG7', 'CWH43', 'CYBA', 'DENND4C', 'DERL1', 'DNAAF4', 'DNAH1', 'DNAH11', 'DNAH5', 'EIF2AK1', 'EXOC3L4', 'EXPH5', 'EZR', 'FCER2', 'FKBP15', 'GABRR2', 'GAK', 'GCKR', 'GHRHR', 'GIT1', 'GIT2', 'GOSR2', 'HFE', 'HTT', 'IFT140', 'IFT88', 'ITGB3', 'ITSN2', 'KCNE4', 'KCNG4', 'KDELR3', 'LRRC8C', 'LTF', 'MACF1', 'MICAL3', 'MST1R', 'MTMR6', 'MYO7A', 'NACAD', 'NUP153', 'OPRM1', 'OTOP3', 'PANX1', 'PLA2R1', 'PLCB3', 'PML', 'RHOBTB3', 'RIN3', 'RYR3', 'SCARB1', 'SCN5A', 'SGSM2', 'SIGLEC1', 'SLC12A7', 'SLC16A10', 'SLC18B1', 'SLC22A14', 'SLC22A16', 'SLC22A23', 'SLC24A1', 'SLC25A32', 'SLC25A37', 'SLC2A7', 'SLC2A9', 'SLC4A2', 'SLC5A6', 'SLC6A13', 'SLC6A5', 'SLC7A9', 'SLC8A2', 'SLCO1B1', 'SMG6', 'SNCA', 'SORCS2', 'SPAG17', 'STAB2', 'STARD10', 'STARD6', 'STK36', 'STON2', 'STX1B', 'SYTL1', 'TBC1D4', 'TBC1D5', 'TF', 'TMCO3', 'TRAF3IP2', 'TRPM1', 'TSPO', 'TUBB1', 'VCP', 'VLDLR', 'VPS13C', 'VPS35L', 'VPS8', 'WNK1', 'XPO4', 'ZFPL1', 'ZFYVE27']
GO:0046394	['ABCB11', 'ACSM5', 'AKR1C4', 'DECR2', 'MTHFR']
GO:0050789	['ABCB11', 'ABCC2', 'ABCG5', 'ACSL5', 'ADAM15', 'ADAM7', 'ADAMTS5', 'ADGRG1', 'ADGRG6', 'ADGRL4', 'ADGRV1', 'AFF1', 'AGAP1', 'AGER', 'AIF1', 'AKAP7', 'AKR1A1', 'ALDH5A1', 'ALPK2', 'AMOTL1', 'ANGPTL4', 'ANXA1', 'ANXA9', 'APOL3', 'ARHGAP45', 'ARHGEF11', 'ARHGEF15', 'ARHGEF18', 'ARHGEF28', 'ASB18', 'ATAD5', 'ATG9A', 'ATP10A', 'ATP11A', 'ATP13A2', 'ATP6V0A2', 'ATR', 'BACE1', 'BBS2', 'BCL2L10', 'BLVRA', 'BMP2K', 'BRD8', 'BST1', 'BTNL8', 'BYSL', 'C10orf90', 'C3', 'CABP2', 'CACNG1', 'CALCOCO1', 'CAMTA2', 'CASP5', 'CASP7', 'CASR', 'CC2D1A', 'CCAR2', 'CCN6', 'CCR6', 'CD27', 'CD300E', 'CD68', 'CDH2', 'CEMIP2', 'CENPF', 'CENPQ', 'CEP89', 'CFB', 'CFHR5', 'CHD3', 'CHD4', 'CHGB', 'CHN2', 'CHRD', 'CLCN6', 'CLNK', 'CNOT2', 'COL4A1', 'COPS3', 'CPEB4', 'CTCFL', 'CUL1', 'CWH43', 'CYBA', 'DCAF12', 'DDIAS', 'DDX60', 'DENND4C', 'DERL1', 'DGKH', 'DHX37', 'DIDO1', 'DIS3L', 'DLG5', 'DMRT3', 'DNAAF4', 'DNAH11', 'DOCK4', 'DOCK5', 'DOCK8', 'EGLN1', 'EHMT2', 'EIF2AK1', 'EIF2AK2', 'EIF2AK4', 'EIF2B5', 'ELF1', 'ELOB', 'EML2', 'ENAM', 'EPHB3', 'ERAP1', 'ERCC2', 'ETAA1', 'EXPH5', 'EZR', 'FAM13A', 'FAM76B', 'FARP1', 'FASTKD3', 'FAT1', 'FBN3', 'FBXO38', 'FBXO7', 'FCER2', 'FCRL5', 'FECH', 'FGD4', 'FGF6', 'FGFR4', 'FLT3', 'FLT3LG', 'FOXM1', 'FUT1', 'FUT2', 'GABRR2', 'GAK', 'GCKR', 'GEMIN5', 'GHRHR', 'GIT1', 'GIT2', 'GLCE', 'GLI1', 'GLIS3', 'GNL1', 'GON4L', 'GP6', 'GPRIN3', 'GSKIP', 'H1-2', 'H1-6', 'HASPIN', 'HDAC7', 'HEATR1', 'HERPUD2', 'HFE', 'HHEX', 'HHLA2', 'HIC1', 'HLA-DMA', 'HLX', 'HNRNPH1', 'HR', 'HTT', 'HYAL3', 'ID3', 'IFIH1', 'IFNK', 'IFT140', 'IFT88', 'IGDCC4', 'IGSF10', 'IHO1', 'IL12RB1', 'IL1F10', 'IL27', 'IL2RB', 'IL3', 'IL34', 'IL4R', 'IQGAP2', 'ITGA8', 'ITGB3', 'ITSN2', 'KANSL1', 'KCNE4', 'KCNG4', 'KLHL40', 'KLHL41', 'KLKB1', 'LACC1', 'LBR', 'LILRA4', 'LNPEP', 'LONP1', 'LRCH4', 'LTBP3', 'LTF', 'MACF1', 'MAF1', 'MALRD1', 'MAP4K5', 'MAST2', 'MAVS', 'MAX', 'MC3R', 'MCPH1', 'MEF2A', 'MITF', 'MKI67', 'MLH1', 'MMP14', 'MORN3', 'MPP7', 'MSANTD1', 'MST1R', 'MTF1', 'MUC12', 'MUSK', 'MYBL2', 'MYC', 'MYLK3', 'MYO9B', 'NCOA3', 'NCR1', 'NCR3', 'NDC80', 'NEK11', 'NEXN', 'NIBAN1', 'NOD1', 'NOP2', 'NOS1AP', 'NPHS1', 'NUF2', 'NUP153', 'ODAM', 'OLFML1', 'OPRD1', 'OPRM1', 'OR10P1', 'OR2AG2', 'OR2G2', 'OR52B6', 'OR5B12', 'OR5M11', 'OR6N1', 'OR7A10', 'OR7G2', 'OVOL2', 'PADI2', 'PALM2AKAP2', 'PANX1', 'PARP1', 'PARP10', 'PARP14', 'PASK', 'PBK', 'PCNT', 'PDE3A', 'PDE4A', 'PDE5A', 'PELO', 'PGBD1', 'PHIP', 'PI16', 'PKMYT1', 'PLA2R1', 'PLCB3', 'PML', 'POFUT1', 'PPP1R15A', 'PRICKLE2', 'PRKDC', 'PTPA', 'PTPN22', 'PTPRA', 'PTPRH', 'QSOX1', 'RAG1', 'RALGAPA2', 'RAPGEF6', 'RELL2', 'REST', 'RFWD3', 'RHOBTB3', 'RIN3', 'RNF213', 'RNF43', 'RPA1', 'RTEL1', 'RYR3', 'SAMSN1', 'SCARB1', 'SCN5A', 'SDK1', 'SEC14L2', 'SELE', 'SELP', 'SEMA6A', 'SESN1', 'SETDB2', 'SGK2', 'SH3RF2', 'SHARPIN', 'SIGLEC1', 'SIRPG', 'SKAP2', 'SLC12A7', 'SLC24A1', 'SLC25A37', 'SLC4A2', 'SLC6A5', 'SLC8A2', 'SLF1', 'SLFN12', 'SLFN14', 'SLIT2', 'SMARCAD1', 'SMG6', 'SMPDL3B', 'SNCA', 'SNIP1', 'SORCS2', 'SP110', 'SPHK1', 'SPINK5', 'SPTB', 'ST3GAL4', 'STAT1', 'STK17A', 'STK36', 'STN1', 'STON2', 'STX1B', 'SYNPO2', 'SZT2', 'TAOK3', 'TASOR2', 'TBC1D32', 'TBC1D4', 'TBC1D5', 'TBL1XR1', 'TBL2', 'TEAD4', 'TEK', 'TELO2', 'TES', 'TET1', 'TET2', 'TF', 'THRA', 'TICRR', 'TLR6', 'TMEM25', 'TMPRSS12', 'TMPRSS6', 'TNFSF14', 'TP53RK', 'TRAF3IP2', 'TRAF3IP3', 'TRAP1', 'TRIM25', 'TRIM41', 'TRPM1', 'TSPO', 'TTLL12', 'UBAP2', 'UBASH3A', 'UBQLN4', 'ULK4', 'UNC5CL', 'URB2', 'VCP', 'VLDLR', 'VPS13C', 'VPS8', 'VRK2', 'WDR12', 'WNK1', 'WWC2', 'XAF1', 'XPO4', 'XRCC4', 'YME1L1', 'ZBTB22', 'ZC3HAV1', 'ZDHHC4', 'ZDHHC6', 'ZFPL1', 'ZFYVE27', 'ZGLP1', 'ZHX3', 'ZKSCAN7', 'ZNF101', 'ZNF134', 'ZNF169', 'ZNF264', 'ZNF276', 'ZNF320', 'ZNF335', 'ZNF385B', 'ZNF470', 'ZNF587B', 'ZNF592', 'ZNF732', 'ZNF749', 'ZSCAN32']
GO:0006082	['ABCB11', 'ACAD11', 'ACADS', 'ACOT6', 'ACOX3', 'ACOXL', 'ACSL5', 'ACSM5', 'AKR1A1', 'AKR1C4', 'ALDH5A1', 'BLVRA', 'C3', 'CYP4V2', 'DECR2', 'ECHS1', 'ETFA', 'HKDC1', 'MTHFR', 'SLC25A32', 'SLC5A6', 'SNCA', 'XPO4']
